Muscle_Group,Exercise
Trapezius,Scapular Protraction and Retraction
Hip,Dumbbell Glute Bridge
Back / Wing,Ring Inverted Row
Calisthenic,Ring Inverted Row
Chest,Push-up With Push-up Bars
Abs,Seated Twist Machine
Cardio,Long Jump
Leg,Long Jump
Leg,Lever Assisted Single Leg Press
Triceps,Cable One-Arm Overhead Triceps Extension
Triceps,Standing Barbell Triceps Extension
Leg,Nordic Hamstring Curl
Back / Wing,Inverted Row
Chest,Smith Machine Decline Bench Press
Chest,One Arm Decline Cable Fly
Full Body,One Arm Kettlebell Snatch
Hip,One Arm Kettlebell Snatch
Leg,One Arm Kettlebell Snatch
Shoulders,One Arm Kettlebell Snatch
Back / Wing,Lever Cable Rear Pulldown
Biceps,Close Grip Z-Bar Curl
Biceps,Dumbbell Scott Curl
Shoulders,Cross Cable Face Pull
Trapezius,Cross Cable Face Pull
Back / Wing,Shotgun Row
Back / Wing,Elbow Reverse Push-Up
Trapezius,Elbow Reverse Push-Up
Calisthenic,Impossible Dips
Full Body,Impossible Dips
Triceps,Impossible Dips
Calisthenic,Korean Dips
Chest,Korean Dips
Full Body,Korean Dips
Triceps,Korean Dips
Calisthenic,Straight Bar Dip
Chest,Straight Bar Dip
Full Body,Straight Bar Dip
Triceps,Straight Bar Dip
Abs,Inchworm
Back / Wing,Weighted One Arm Pull-up
Chest,Dumbbell One Arm Reverse Grip Press
Back / Wing,Cable Crossover Lat Pulldown
Back / Wing,One Arm Landmine Row
Shoulders,One Arm Landmine Row
Abs,Front Plank With Arm And Leg Lift
Cardio,Front Plank With Arm And Leg Lift
Hip,Front Plank With Arm And Leg Lift
Leg,Front Plank With Arm And Leg Lift
Leg,Horizontal Leg Press
Hip,Resistance Band Reverse Hyperextension
Shoulders,Resistance Band Seated Shoulder Press
Hip,Resistance Band Toe Touch
Leg,Resistance Band Toe Touch
Biceps,Barbell Curl On Arm Blaster
Biceps,Arm Blaster Hammer Curl
Biceps,Dumbbell Curl On Arm Blaster
Chest,Lever One-Arm Chest Press
Abs,Weighted Lying Twist
Biceps,Standing One Arm Chest Stretch
Chest,Standing One Arm Chest Stretch
Forearm,Standing One Arm Chest Stretch
Hip,Kneeling Hip Flexor Stretch
Leg,Kneeling Hip Flexor Stretch
Leg,Standing Quadriceps Stretch
Chest,Single-Arm Medicine Ball Push-Up
Chest,Stability Ball Decline Push-Up
Chest,Dumbbell Pullover On Stability Ball
Chest,Stability Ball Push-Up
Abs,Swiss Ball Rollout
Hip,Exercise Ball Wall Squat
Leg,Exercise Ball Wall Squat
Abs,Weighted Side Bend On Stability Ball
Triceps,Exercise Ball Triceps Extension
Abs,Stability Ball V-Up
Abs,Exercise Ball Frog Crunch
Leg,Leg Curl On Stability Ball
Chest,Dumbbell Decline One-Arm Hammer Press
Triceps,Dumbbell Decline One-Arm Hammer Press
Calisthenic,Bench Pike Push-up
Shoulders,Bench Pike Push-up
Calisthenic,Pike Push-up
Chest,Pike Push-up
Shoulders,Pike Push-up
Shoulders,Tall Kneeling One Arm Kettlebell Press
Cardio,Kettlebell Clean and Jerk
Full Body,Kettlebell Clean and Jerk
Hip,Kettlebell Clean and Jerk
Leg,Kettlebell Clean and Jerk
Shoulders,Kettlebell Clean and Jerk
Hip,Kettlebell Goblet Squat
Leg,Kettlebell Goblet Squat
Back / Wing,Lever Reverse T-Bar Row
Biceps,One Arm Biceps Curl
Erector Spinae,Kettlebell Deadlift
Hip,Kettlebell Deadlift
Leg,Kettlebell Deadlift
Back / Wing,Kettlebell Bent Over Row
Leg,Barbell Bench Front Squat
Cardio,Dumbbell Burpees
Full Body,Dumbbell Burpees
Erector Spinae,Standing Toe Touches
Leg,Standing Toe Touches
Leg,Standing Side Toe Touching
Chest,Weighted Push-up
Hip,Band Lying Hip External Rotation
Back / Wing,Full Range Of Motion Lat Pulldown
Shoulders,Full Range Of Motion Lat Pulldown
Cardio,Ski Step
Cardio,Dumbbell Split Jump
Hip,Dumbbell Split Jump
Leg,Dumbbell Split Jump
Hip,Banded Step-up
Leg,Banded Step-up
Leg,Barbell Curtsey Lunge
Cardio,Dumbbell Jump Squat
Full Body,Dumbbell Jump Squat
Hip,Dumbbell Jump Squat
Leg,Dumbbell Jump Squat
Leg,Barbell Split Squat
Shoulders,Lever Shoulder Press (Hammer Grip)
Abs,Cable Seated Cross Arm Twist
Leg,All Fours Squad Stretch
Back / Wing,Chin-Up
Biceps,Chin-Up
Forearm,Wrist Ulnar Deviator And Extensor Stretch
Forearm,Reverse Wrist Stretch
Forearm,Wrist Stretch
Abs,Burpees
Cardio,Burpees
Full Body,Burpees
Hip,Burpees
Leg,Burpees
Shoulders,Dumbbell Lying Rear Lateral Raise
Biceps,Lever Biceps Curl
Not specified,Barbell Glute Bridge On Bench
Biceps,Cable Incline Biceps Curl
Shoulders,Lever Reverse Shoulder Press
Leg,Lever Kneeling Leg Curl
Abs,Standing Twist Machine
Shoulders,Side Lying Rear Delt Dumbbell Raise
Shoulders,Scapula Dips
Trapezius,Scapula Dips
Triceps,Triceps Extension Machine
Shoulders,Ez-Bar Incline Front Raise
Triceps,Triceps Dip Machine
Abs,Seated Crunch Machine
Chest,Push-Up Plus
Trapezius,Push-Up Plus
Back / Wing,Seated Toe Touches
Erector Spinae,Seated Toe Touches
Leg,Seated Toe Touches
Cardio,Vibration Plate
Back / Wing,L-Sit Pull-Up
Calisthenic,L-Sit Pull-Up
Full Body,L-Sit Pull-Up
Back / Wing,Back Lever
Calisthenic,Back Lever
Full Body,Back Lever
Shoulders,Back Lever
Back / Wing,Swing 360
Calisthenic,Swing 360
Back / Wing,Front Lever Pull-up
Calisthenic,Front Lever Pull-up
Full Body,Front Lever Pull-up
Shoulders,Barbell Front Raise Twist
Hip,Reverse Hack Squat
Leg,Reverse Hack Squat
Hip,Duck Walk
Leg,Duck Walk
Calisthenic,Single-Arm Push-up
Chest,Single-Arm Push-up
Triceps,Single-Arm Push-up
Shoulders,Kettlebell Shoulder Press
Leg,Trap Bar Deadlift
Hip,Zercher Squat
Leg,Zercher Squat
Leg,Front Squat
Abs,Barbell Rollout
Abs,Landmine Twist
Abs,Frog Crunch
Abs,Ab Wheel Rollout
Hip,Ab Wheel Rollout
Calisthenic,Wall-Supported Handstand Push-Ups
Shoulders,Wall-Supported Handstand Push-Ups
Triceps,Wall-Supported Handstand Push-Ups
Cardio,High Knees Against Wall
Back / Wing,Towel Shoulder Stretch
Shoulders,Towel Shoulder Stretch
Triceps,Towel Shoulder Stretch
Calf,Standing Hamstring Stretch
Hip,Standing Hamstring Stretch
Leg,Standing Hamstring Stretch
Hip,Kettlebell Thruster
Leg,Kettlebell Thruster
Shoulders,Kettlebell Thruster
Full Body,One Arm Dumbbell Snatch
Hip,One Arm Dumbbell Snatch
Leg,One Arm Dumbbell Snatch
Shoulders,One Arm Dumbbell Snatch
Leg,Single Leg Press
Cardio,Vertical Mountain Climber
Hip,Landmine Lunge
Leg,Landmine Lunge
Chest,One-Arm Kettlebell Chest Press
Chest,Kettlebell Chest Press on the Floor
Calf,Weighted Seated Calf Raise
Chest,Wide Grip Bench Press
Chest,Decline Barbell Bench Press
Leg,Single Leg Extension
Leg,Smith Machine Leg Press
Shoulders,Band Front Lateral Raise
Hip,Smith Machine Lunge
Leg,Smith Machine Lunge
Leg,Skater Squat
Shoulders,Shoulder Pendulum
Chest,One Arm Push Ups With Support
Chest,Band Standing Chest Press
Leg,Shrimp Squat
Shoulders,90-Degree Cable External Rotation
Shoulders,90-degree Cable Internal Rotation
Hip,Towel Leg Curl
Leg,Towel Leg Curl
Cardio,Single Leg Hip Thrust Jump
Hip,Single Leg Hip Thrust Jump
Chest,Seated Chest Stretch
Shoulders,Seated Ballerina Exercise
Trapezius,Seated Ballerina Exercise
Shoulders,Seated Scapular Retraction Exercise
Trapezius,Seated Scapular Retraction Exercise
Leg,Foam Roller IT (iliotibial Band) Stretch
Back / Wing,Foam Roller Back Stretch
Erector Spinae,Foam Roller Back Stretch
Back / Wing,Foam Roller Rhomboids
Trapezius,Foam Roller Rhomboids
Hip,Foam Roller Glutes
Leg,Foam Roller Quads
Shoulders,Foam Roller Posterior Shoulder
Chest,Foam Roller Chest Stretch
Back / Wing,Foam Roller Upper Back
Trapezius,Foam Roller Upper Back
Back / Wing,Foam Roller Lat Stretch
Hip,Foam Roller Inner Thigh Adductor Stretch
Leg,Foam Roller Inner Thigh Adductor Stretch
Leg,Foam Roller Hamstrings
Chest,Foam Roller Front Shoulder and Chest
Shoulders,Foam Roller Front Shoulder and Chest
Leg,Foam Roller Plantar Fasciitis
Calf,Foam Roller Calves
Shoulders,Rotator Cuff Stretch
Chest,Assisted Reverse Stretch (Chest And Shoulder)
Shoulders,Assisted Reverse Stretch (Chest And Shoulder)
Calf,Band Foot External Rotation
Abs,Lying Upper Body Rotation
Back / Wing,Lying Upper Body Rotation
Chest,Lying Upper Body Rotation
Erector Spinae,Lying Upper Body Rotation
Shoulders,Lying Upper Body Rotation
Back / Wing,Lever Pullover
Hip,90/90 Hip Stretch
Leg,90/90 Hip Stretch
Back / Wing,One Arm Chin-Up
Biceps,One Arm Chin-Up
Back / Wing,Scapula Pull-up
Trapezius,Scapula Pull-up
Back / Wing,Archer Pull-up
Calisthenic,Archer Pull-up
Full Body,Archer Pull-up
Back / Wing,Jumping Pull-up
Back / Wing,Commando Pull-up
Back / Wing,Behind The Neck Pull-up
Chest,Lever Decline Chest Press
Back / Wing,Cable One-Arm Pulldown
Abs,Bicycle Twisting Crunch
Triceps,Decline Close-Grip Bench To Skull Crusher
Back / Wing,Barbell Decline Bent Arm Pullover
Erector Spinae,Stiff Leg Deadlift
Hip,Stiff Leg Deadlift
Leg,Stiff Leg Deadlift
Back / Wing,Dead Hang
Erector Spinae,Kneeling Back Rotation
Shoulders,Kneeling Back Rotation
Shoulders,Serratus Wall Slide With Foam Roller
Trapezius,Serratus Wall Slide With Foam Roller
Abs,Fish Pose
Chest,Fish Pose
Neck,Fish Pose
Yoga,Fish Pose
Abs,Hands In Air Dead Bug
Cardio,Cross Body Push-up
Full Body,Cross Body Push-up
Shoulders,Wall Supported Arm Raises
Shoulders,Backhand Raise
Abs,4 Point Tummy Vacuum Exercise
Back / Wing,Isometric Pull-Up
Biceps,Dumbbell Preacher Hammer (Scott) Curl
Forearm,Dumbbell Preacher Hammer (Scott) Curl
Biceps,One Arm Prone Dumbbell Curl
Biceps,Dumbbell Alternate Preacher Curl
Biceps,Two Dumbbell Preacher Curl
Abs,Seated Flutter Kick
Abs,Seated Cable Twist
Shoulders,Dumbbell Seated Cuban Press
Shoulders,Kneeling Cable Shoulder Press
Biceps,Flexor Incline Dumbbell Curls
Trapezius,Dip Shrugs (Serratus Shrugs)
Leg,Dumbbell Goblet Curtsey Lunge
Hip,Cable Forward Lunge
Leg,Cable Forward Lunge
Hip,Kneeling Cable Pull Through
Leg,Cable Lunge
Hip,Cable Front Squat
Leg,Cable Front Squat
Triceps,Barbell One Arm Floor Press
Biceps,Barbell Alternate Biceps Curl
Forearm,Weighted Neutral Wrist Curl
Chest,Incline Chest Press Machine
Chest,İncline Cable Fly
Abs,Bodyweight Kneeling Sissy Squat
Leg,Bodyweight Kneeling Sissy Squat
Back / Wing,Wide Grip Barbell Bent Over Row Plus
Trapezius,Wide Grip Barbell Bent Over Row Plus
Back / Wing,Wide Grip Alternate Barbell Bent Over Row Plus
Trapezius,Wide Grip Alternate Barbell Bent Over Row Plus
Full Body,Trap Bar Jump Squat
Hip,Trap Bar Jump Squat
Leg,Trap Bar Jump Squat
Cardio,Box Jump to Pistol Squat
Hip,Box Jump to Pistol Squat
Leg,Box Jump to Pistol Squat
Cardio,Box Jump 2 to 1
Hip,Box Jump 2 to 1
Leg,Box Jump 2 to 1
Cardio,Box Jump 1 to 2
Hip,Box Jump 1 to 2
Leg,Box Jump 1 to 2
Cardio,Single Leg Box Jump
Hip,Single Leg Box Jump
Leg,Single Leg Box Jump
Abs,Bow Pose
Erector Spinae,Bow Pose
Leg,Bow Pose
Yoga,Bow Pose
Erector Spinae,Cat Cow Pose
Yoga,Cat Cow Pose
Back / Wing,Wall Slides
Shoulders,Wall Slides
Abs,Kneeling T-spine Rotation
Back / Wing,Kneeling T-spine Rotation
Erector Spinae,Kneeling T-spine Rotation
Shoulders,Kneeling T-spine Rotation
Shoulders,Plate Loaded Shoulder Press
Calf,Toe Extensor Stretch
Abs,Standing Barbell Rollout
Triceps,Asisted Triceps Dips
Abs,Side Plank Oblique Crunch
Chest,Reverse Chest Stretch
Abs,Medicine Ball-Sit-up Throw
Full Body,Medicine Ball-Sit-up Throw
Calf,Standing Dorsiflexion
Calf,Standing Wall Calf Stretch
Calf,Standing Toe Up Achilles Stretch
Calf,Standing Toe Flexor Stretch
Calf,Standing Gastrocnemius Calf Stretch
Calf,Single Heel Drop Calf Stretch
Calf,Seated Straight Leg Calf Stretch
Leg,Seated Straight Leg Calf Stretch
Calf,Lunging Straight Leg Calf Stretch
Calf,Posterior Tibialis Stretch
Calf,Foot and Ankles Stretches
Calf,Foot and Ankle Rotation
Calf,Calves Stretch Static Position
Calf,Single Leg Calves Stretch
Calf,Calf Stretch With Rope
Calf,Crouching Heel Back Calf Stretch
Leg,Crouching Heel Back Calf Stretch
Shoulders,Chest Supported Dumbbell Front Raises
Full Body,Barbell Jump Squat
Hip,Barbell Jump Squat
Leg,Barbell Jump Squat
Abs,Side Bent
Shoulders,One-Arm Dumbbell Upright Row
Trapezius,One-Arm Dumbbell Upright Row
Abs,Leg Scissors
Abs,Abdominal Bracing
Yoga,Abdominal Bracing
Shoulders,Single Arm Arnold Press
Biceps,Cable Kneeling Biceps Curl
Yoga,Double Pigeon Pose
Hip,Frog Pose
Leg,Frog Pose
Yoga,Frog Pose
Chest,Kneeling Landmine Press
Shoulders,Kneeling Landmine Press
Chest,Pike Push-Up Between Chairs
Shoulders,Pike Push-Up Between Chairs
Calisthenic,Handstand Walk
Full Body,Handstand Walk
Calisthenic,Handstand
Full Body,Handstand
Hip,ATG Split Squat
Leg,ATG Split Squat
Full Body,Kettlebell Clean and Press
Hip,Kettlebell Clean and Press
Leg,Kettlebell Clean and Press
Shoulders,Kettlebell Clean and Press
Shoulders,Dumbbell Z Press
Hip,Seated Piriformis Stretch
Leg,Seated Piriformis Stretch
Hip,Barbell Pin Front Squat
Leg,Barbell Pin Front Squat
Shoulders,Cable Y Raise
Trapezius,Cable Y Raise
Abs,Lying Toe Touches
Back / Wing,Climbing Monkey Bars
Full Body,Climbing Monkey Bars
Back / Wing,Supine Spinal Twist
Erector Spinae,Supine Spinal Twist
Yoga,Supine Spinal Twist
Leg,Heel Touch Side Kick Squat
Shoulders,Alternate Dumbbell Lateral Raise
Back / Wing,Back Slaps Wrap Around Stretch
Chest,Back Slaps Wrap Around Stretch
Shoulders,Back Slaps Wrap Around Stretch
Chest,Reaction Ball Throw
Shoulders,Reaction Ball Throw
Triceps,Reaction Ball Throw
Shoulders,Front Rack PVC Stretch
Back / Wing,Bodyweight Row in Doorway
Back / Wing,Lever High Row
Shoulders,Lever High Row
Abs,Dumbbell Floor Wipers
Hip,Hip Extension On Bench
Calf,Seated Calf Press on Leg Press Machine
Calf,Single Calf Raise on Leg Press Machine
Hip,Donkey Kick on Smith Machine
Hip,Glute Bridge on Bench
Cardio,Stationary Bike Run
Hip,Donkey Kick on Leg Extension Machine
Hip,Hip Thrust on The Leg Extension Machine
Hip,Hip Thrust Machine
Hip,Squat on The Abductor Machine
Hip,Barbell Single Leg Hip Thrust
Back / Wing,Incline Dumbbell Hammer Row
Hip,Pelvic Tilt
Hip,Glute Bridge One Leg on Bench
Hip,Unilateral Bridge
Abs,Side Bridge Hip Abduction
Hip,Side Bridge Hip Abduction
Hip,Straight Leg Kickback
Cardio,Hands Bike
Chest,Seated Cable Chest Press
Chest,Seated Cable Close Grip Chest Press
Abs,Cable Half Kneeling Pallof Press
Chest,Cable Half Kneeling Pallof Press
Shoulders,Cable Half Kneeling Pallof Press
Cardio,Squat Tuck Jump
Hip,Decline Bench Dumbbell Lunge
Leg,Decline Bench Dumbbell Lunge
Triceps,Standing Triceps Stretch
Chest,Chest and Front of Shoulder Stretch
Shoulders,Chest and Front of Shoulder Stretch
Calisthenic,Forearm Push-up
Chest,Forearm Push-up
Triceps,Forearm Push-up
Back / Wing,Plate Loaded Seated Row
Biceps,Cable Two Arm Curl on Incline Bench
Back / Wing,Chin Up Around the Bar
Biceps,Chin Up Around the Bar
Hip,Banded Standing Glute Kickback
Hip,Banded Seated Hip Abduction
Hip,Banded Single Leg Glute Bridge
Hip,Banded Glute Bridge
Back / Wing,EZ-Bar Bent Arm Pullover
Triceps,EZ-Bar Bent Arm Pullover
Hip,Lateral Leg Swings
Leg,Lateral Leg Swings
Biceps,Elbow Flexion
Shoulders,Shoulder External Rotation
Shoulders,Shoulder Internal Rotation
Shoulders,Lateral Raise with Towel on Wall
Shoulders,Alternating Shoulder Flexion
Hip,Banded Walk
Leg,Banded Walk
Hip,Band Side Lying Clam
Hip,Resistance Band Lateral Walk
Leg,Resistance Band Lateral Walk
Hip,Banded Glute Kickbacks
Hip,Banded Donkey Kicks
Hip,Banded Thigh Fly
Hip,Band Side Lying Leg Lift
Hip,Banded Fire Hydrant
Biceps,Cable Pulldown Biceps Curl
Hip,Kneeling Jump Squat
Leg,Kneeling Jump Squat
Leg,Banded Split Squat
Hip,Banded Kettlebell Goblet Squat
Leg,Banded Kettlebell Goblet Squat
Leg,Banded Lunge
Leg,Banded Leg Curl
Leg,Standing Single Leg Curl Machine
Leg,Decline Dumbbell Leg Curl
Triceps,Low Cable Tricep Kickback
Shoulders,Banded Shoulder External Rotation
Shoulders,Banded Shoulder Flexion
Back / Wing,Banded Shoulder Extension
Shoulders,Banded Shoulder Extension
Back / Wing,Banded Shoulder Adduction
Chest,Banded Shoulder Adduction
Hip,Kettlebell Front Squat
Leg,Kettlebell Front Squat
Hip,Single Knee To Chest
Leg,Single Knee To Chest
Hip,Pistol Squat to Box
Leg,Pistol Squat to Box
Hip,Frog Pump
Hip,Landmine Deadlift
Leg,Landmine Deadlift
Back / Wing,Landmine T-Bar Row
Erector Spinae,Landmine T-Bar Row
Cardio,1-2 Stick Drill
Back / Wing,Cable Twisting Standing High Row
Biceps,Band Biceps Curl
Triceps,Band Skull Crusher
Back / Wing,Single Arm Twisting Seated Cable Row
Back / Wing,Band Alternating Lat Pulldown
Back / Wing,Band Alternating Low Row with Twist
Chest,Band Alternate Incline Chest Press
Shoulders,Band Single Arm Shoulder Press
Hip,Band Seated Hip External Rotation
Hip,Band Seated Hip Internal Rotation
Back / Wing,Band Seated Row
Triceps,Band Pushdown
Hip,Landmine Squat
Leg,Landmine Squat
Leg,Sissy Squat
Biceps,Single Dumbbell Spider Hammer Curl
Forearm,Single Dumbbell Spider Hammer Curl
Triceps,Decline Dumbbell Triceps Extension
Triceps,Dumbbell Tate Press
Hip,Rack Pull
Leg,Rack Pull
Calisthenic,Handstand Push-ups Between Benches
Shoulders,Handstand Push-ups Between Benches
Triceps,Handstand Push-ups Between Benches
Calisthenic,Kipping Handstand Push-up
Full Body,Kipping Handstand Push-up
Shoulders,Kipping Handstand Push-up
Triceps,Kipping Handstand Push-up
Back / Wing,Barbell Pendlay Row
Erector Spinae,Barbell Pendlay Row
Hip,Standing Knee Hugs
Leg,Standing Knee Hugs
Erector Spinae,Superman
Neck,Superman
Hip,Fire Hydrant
Cardio,Step Up with Knee Raises
Leg,Step Up with Knee Raises
Abs,Snap Jumps
Cardio,Snap Jumps
Full Body,Snap Jumps
Hip,Snap Jumps
Leg,Snap Jumps
Hip,Piriformis Stretch
Leg,Piriformis Stretch
Hip,Half Kneeling Hip Flexor Stretch
Leg,Half Kneeling Hip Flexor Stretch
Hip,Barbell Glute Bridge
Hip,Cable Hip Extension
Hip,Cable Hip Abduction
Hip,Donkey Kicks
Shoulders,Bent-Over Dumbbell Rear Delt Raise With Head On Bench
Abs,Hanging Leg Raises
Abs,Side Plank Leg Raises
Abs,Reverse Plank Kicks
Abs,Hindu Push-ups
Calisthenic,Hindu Push-ups
Erector Spinae,Hindu Push-ups
Shoulders,Hindu Push-ups
Abs,Bear Crawl
Cardio,Bear Crawl
Cardio,High Knee Run
Hip,High Knee Run
Leg,High Knee Run
Abs,High Knee Skips
Cardio,High Knee Skips
Leg,High Knee Skips
Abs,Double Crunches
Abs,Toe Reaches
Calf,Inner Thigh Side Stretch
Hip,Inner Thigh Side Stretch
Leg,Inner Thigh Side Stretch
Abs,Sit-ups
Abs,Side Plank
Abs,Plank Leg Lift
Hip,Plank Leg Lift
Abs,Plank Knee to Elbow
Abs,Russian Twist
Abs,Plank
Cardio,Skater
Hip,Skater
Leg,Skater
Abs,Leg Pull-in Knee-ups
Hip,Butterfly Stretch
Leg,Butterfly Stretch
Abs,Glute Bridge
Hip,Glute Bridge
Erector Spinae,Arm Leg Raises
Hip,Arm Leg Raises
Abs,Hollow Hold
Abs,Long Arm Crunch
Abs,Half Wipers
Abs,Jackknife Sit-ups (V-Up)
Abs,Flutter Kick
Hip,Dumbbell Forward Leaning Lunge
Leg,Dumbbell Forward Leaning Lunge
Hip,Dumbbell Reverse Lunge
Leg,Dumbbell Reverse Lunge
Leg,Dumbbell Pistol Squat
Abs,Standing side bend
Back / Wing,Standing side bend
Triceps,Bent Over Kickback
Chest,Incline Close-Grip Bench Press
Chest,Close Grip Bench Press
Triceps,Close Grip Bench Press
Triceps,Dumbbell Triceps Extension
Calisthenic,Diamond Push-up
Chest,Diamond Push-up
Triceps,Diamond Push-up
Biceps,Cable Curl
Forearm,Reverse Wrist Curl
Forearm,Wrist Curl
Biceps,Z-Bar Curl
Shoulders,Barbell Upright Row
Trapezius,Barbell Upright Row
Shoulders,Barbell Front Raise
Hip,Bodyweight Bulgarian Split Squat
Leg,Bodyweight Bulgarian Split Squat
Hip,Dumbbell Sumo Squat
Leg,Dumbbell Sumo Squat
Hip,Hip Adduction Machine
Leg,Hip Adduction Machine
Hip,Hip Abduction Machine
Leg,Hip Abduction Machine
Calisthenic,Push-Up
Chest,Push-Up
Chest,Hammer Press
Chest,Chest Press Machine
Chest,Corner Wall Stretch
Shoulders,Corner Wall Stretch
Leg,Seated Banded Leg Extension
Biceps,Hammer Curl with Resistance Band
Forearm,Hammer Curl with Resistance Band
Triceps,Triceps Extension with Resistance Bands
Chest,Barbell Floor Press
Abs,Suspended Ab Fall-out
Calisthenic,Suspended Ab Fall-out
Abs,TRX Mountain Climber
Abs,Side Plank Knee to Elbow
Hip,Zercher Deadlift
Leg,Zercher Deadlift
Leg,Supported Pistol Squat
Chest,Landmine Floor Chest Fly
Full Body,Barbell Thruster
Leg,Barbell Thruster
Shoulders,Barbell Thruster
Erector Spinae,Dumbbell Pull Through
Hip,Dumbbell Pull Through
Leg,Dumbbell Pull Through
Calf,Single Leg Donkey Calf Raise
Chest,Decline Hammer Press
Hip,Jefferson Squat
Leg,Jefferson Squat
Triceps,Alternating Lying Dumbbell Triceps Extension
Triceps,Barbell Reverse Grip Skullcrusher
Triceps,Barbell Lying Back of the Head Tricep Extension
Triceps,EZ Bar Lying Close Grip Triceps Extension Behind Head
Triceps,Kneeling Cable Triceps Extension
Chest,Close-Grip Reverse Bench Press
Triceps,Close-Grip Reverse Bench Press
Triceps,One Arm High Pulley Overhead Tricep Extension
Triceps,Cable Crossover Triceps Extension
Triceps,Side One Arm Reverse Pushdown
Biceps,Cable Reverse Grip EZ-bar Biceps Curl
Forearm,Cable Reverse Grip EZ-bar Biceps Curl
Abs,Bodyweight Skull Crushers
Calisthenic,Bodyweight Skull Crushers
Full Body,Bodyweight Skull Crushers
Triceps,Bodyweight Skull Crushers
Triceps,V-bar Pushdown
Triceps,Cable Rope Lying Tricep Extension
Triceps,Cable Lying Triceps Extension
Not specified,Barbell Lying Close grip Triceps Extension
Erector Spinae,Glute Ham Raise
Hip,Glute Ham Raise
Leg,Glute Ham Raise
Chest,Wide-Grip Reverse Bench Press
Calisthenic,Straddle Planche
Chest,Straddle Planche
Full Body,Straddle Planche
Triceps,Straddle Planche
Hip,TRX Pistol Squat
Leg,TRX Pistol Squat
Hip,Sitting Wide Leg Adductor Stretch
Leg,Sitting Wide Leg Adductor Stretch
Hip,Standing Wide Knees Adductor Stretch
Leg,Standing Wide Knees Adductor Stretch
Hip,Standing Wide Leg Adductor Stretch
Leg,Standing Wide Leg Adductor Stretch
Leg,Knee Circles
Hip,Hip Circles
Yoga,Parsva Balasana | Thread the Needle Pose
Full Body,One Arm Kettlebell Swing
Hip,One Arm Kettlebell Swing
Shoulders,One Arm Kettlebell Swing
Abs,Half Cross Crunch
Chest,Close Grip Knee Push-up
Triceps,Close Grip Knee Push-up
Abs,Cable Seated Twist on Floor
Abs,Butterfly Sit-up
Back / Wing,Neutral Grip Pull-up
Biceps,Standing Reverse Shoulder Stretch
Shoulders,Standing Reverse Shoulder Stretch
Shoulders,Resistance Band Bent Over Rear Delt Fly
Trapezius,Resistance Band Bent Over Rear Delt Fly
Abs,Push-up With Rotation
Chest,Push-up With Rotation
Erector Spinae,Push-up With Rotation
Abs,Side Plank Rotation
Erector Spinae,Side Plank Rotation
Hip,Resistance Band Overhead Squat
Leg,Resistance Band Overhead Squat
Back / Wing,Medicine ball Overhead Slam
Full Body,Medicine ball Overhead Slam
Shoulders,Medicine ball Overhead Slam
Chest,Supine Medicine Ball Chest Throw
Triceps,Supine Medicine Ball Chest Throw
Chest,Reverse Dips
Triceps,Reverse Dips
Chest,Trx Chest Press
Back / Wing,Dumbbell Seal Row
Hip,Lever Standing Hip Extension
Chest,Dumbbell Straight Arm Pullover (knees at 90 degrees)
Chest,Trx Chest Fly
Chest,Doorway Pec and Shoulder Stretch
Shoulders,Doorway Pec and Shoulder Stretch
Abs,Prone Abdominal Hollowing
Abs,Hell Slide
Leg,Hell Slide
Full Body,Wall Ball
Hip,Wall Ball
Leg,Wall Ball
Shoulders,Wall Ball
Hip,Kicks Leg Bent
Hip,Kneeling Leg Out Adductor Stretch
Leg,Kneeling Leg Out Adductor Stretch
Shoulders,Resistance Band Pull Apart
Trapezius,Resistance Band Pull Apart
Abs,Half Frog Pose
Leg,Half Frog Pose
Yoga,Half Frog Pose
Hip,Happy Baby Pose
Leg,Happy Baby Pose
Yoga,Happy Baby Pose
Biceps,Barbell Drag Curl
Back / Wing,Kettlebell Renegade Row
Chest,Kettlebell Renegade Row
Full Body,Kettlebell Renegade Row
Back / Wing,Push-Up to Renegade Row
Chest,Push-Up to Renegade Row
Full Body,Push-Up to Renegade Row
Chest,Modified Hindu Push-up
Full Body,Modified Hindu Push-up
Chest,Knuckle Push-Up
Calisthenic,Planche Push-Up
Chest,Planche Push-Up
Full Body,Planche Push-Up
Triceps,Planche Push-Up
Calisthenic,Finger Push-up
Chest,Finger Push-up
Calisthenic,Chest Tap Push-up
Chest,Chest Tap Push-up
Chest,Kettlebell Deep Push-Up
Calisthenic,Archer Push-Up
Chest,Archer Push-Up
Full Body,Archer Push-Up
Triceps,Archer Push-Up
Chest,One Leg Push-Up
Abs,Medicine Ball Crunch
Chest,Bosu Ball Push-Up
Chest,Resistance Band Alternating Chest Fly
Abs,Kettlebell Figure 8
Erector Spinae,Kettlebell Figure 8
Full Body,Kettlebell Figure 8
Hip,Kettlebell Figure 8
Leg,Kettlebell Figure 8
Hip,Smith Machine Hip Thrust
Hip,Resistance Band Hip Thrust
Hip,Resistance Band Hip Thrusts on Knees
Forearm,Barbell Finger Curl
Forearm,Dumbbell Finger Curl
Back / Wing,Dumbbell Renegade Row
Full Body,Dumbbell Renegade Row
Abs,Ball Russian Twist throw with partner
Shoulders,Kettlebell Lateral Raise
Erector Spinae,Barbell Single Leg Deadlift
