Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Erector Spinae,Swimming,Beginner,,Low,Back,,10 minutes,2 minutes,Aerobic,80,,Low
Hip,Swimming,Beginner,,Low,Back,,10 minutes,2 minutes,Aerobic,80,,Low
Trapezius,Swimming,Beginner,,Low,Back,,10 minutes,2 minutes,Aerobic,80,,Low
Chest,Clap Push-Up,Intermediate,,Moderate,Upper Body,,8 minutes,2 minutes,Strength,80,Increase reps,Low
Hip,Frog Reverse Hyperextension,Intermediate,,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase duration,Moderate
Leg,Kettlebell Split Snatch,Advanced,Kettlebell,High,Hips,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Kettlebell Split Snatch,Advanced,Kettlebell,High,Hips,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Kettlebell Windmill,Intermediate,Kettlebell,Moderate,Core,Obliques,10 minutes,2 minutes,Strength,90,Increase weight,Low
Full Body,Kettlebell Swings,Intermediate,Kettlebell,Moderate,Core,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Hip,Kettlebell Swings,Intermediate,Kettlebell,Moderate,Core,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Kettlebell Swings,Intermediate,Kettlebell,Moderate,Core,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Shoulders,Kettlebell Swings,Intermediate,Kettlebell,Moderate,Core,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Trapezius,Bent Over Rear Delt Fly | Gymstick,Intermediate,Gymstick,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,85,Increase resistance,Low
Biceps,Brachialis Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Leg,Bodyweight Box Squat,Beginner,,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Triceps,Single Dumbbell Close-grip Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Neck,Bhujangasana | Cobra Abdominal Stretch,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Yoga,Bhujangasana | Cobra Abdominal Stretch,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Leg,Step Up Single Leg Balance with Bicep Curl,Intermediate,Dumbbell,Moderate,Hips,Biceps,10 minutes,2 minutes,Strength,90,Increase weight,Low
Hip,Bird Dog,Beginner,,Low,Lower Back,,8 minutes,1 minute,Strength,70,Increase duration,Low
Calisthenic,Ab Straps Leg Raise,Intermediate,Ab Straps,Moderate,Core,Lower Abs,8 minutes,2 minutes,Strength,80,Increase reps,Low
Leg,Dumbbell Step-Up,Intermediate,Dumbbell,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Belt Squat,Intermediate,Belt,Moderate,Hips,Quads,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Erector Spinae,Seated Cable Rope Row,Intermediate,Cable Machine,Moderate,Back,,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Leg,Reverse Lunge,Intermediate,,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase reps,Low
Triceps,Kneeling Diamond Push-Up,Beginner,,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Chest,Dips Between Chairs,Beginner,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Triceps,Dips Between Chairs,Beginner,,Low,Upper Body,,8 minutes,1 minute,Strength,70,Increase reps,Low
Leg,Boat Pose,Beginner,,Low,Core,,5 minutes,1 minute,Isometric,50,Increase duration,Low
Shoulders,Scapular Protraction and Retraction,Beginner,,Low,Back,,8 minutes,1 minute,Strength,70,Increase duration,Low
Trapezius,Scapular Protraction and Retraction,Beginner,,Low,Back,,8 minutes,1 minute,Strength,70,Increase duration,Low
Calisthenic,Ring Inverted Row,Intermediate,Rings,Moderate,Back,,10 minutes,2 minutes,Strength,90,Increase reps,Low
Leg,Long Jump,Beginner,,Low,Cardio,,10 minutes,2 minutes,Aerobic,80,,Low
Hip,One Arm Kettlebell Snatch,Advanced,Kettlebell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,One Arm Kettlebell Snatch,Advanced,Kettlebell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,One Arm Kettlebell Snatch,Advanced,Kettlebell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Trapezius,Cross Cable Face Pull,Intermediate,Cable Machine,Moderate,Shoulders,Rear Deltoid,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Trapezius,Elbow Reverse Push-Up,Intermediate,,Moderate,Back,,10 minutes,2 minutes,Strength,90,Increase reps,Low
Full Body,Impossible Dips,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Triceps,Impossible Dips,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Chest,Korean Dips,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Full Body,Korean Dips,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Triceps,Korean Dips,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Chest,Straight Bar Dip,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Full Body,Straight Bar Dip,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Triceps,Straight Bar Dip,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Shoulders,One Arm Landmine Row,Intermediate,Landmine,Moderate,Back,,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Cardio,Front Plank With Arm And Leg Lift,Advanced,,High,Core,Shoulders,10 minutes,3 minutes,Isometric,100,Increase duration,High
Hip,Front Plank With Arm And Leg Lift,Advanced,,High,Core,Shoulders,10 minutes,3 minutes,Isometric,100,Increase duration,High
Leg,Front Plank With Arm And Leg Lift,Advanced,,High,Core,Shoulders,10 minutes,3 minutes,Isometric,100,Increase duration,High
Leg,Resistance Band Toe Touch,Beginner,Resistance Band,Low,Hips,Glutes,8 minutes,1 minute,Strength,70,Increase duration,Low
Chest,Standing One Arm Chest Stretch,Beginner,,Low,Biceps,,5 minutes,1 minute,Stretch,10,,Low
Forearm,Standing One Arm Chest Stretch,Beginner,,Low,Biceps,,5 minutes,1 minute,Stretch,10,,Low
Leg,Kneeling Hip Flexor Stretch,Beginner,,Low,Hips,,5 minutes,1 minute,Stretch,10,,Low
Leg,Exercise Ball Wall Squat,Beginner,Exercise Ball,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Triceps,Dumbbell Decline One-Arm Hammer Press,Intermediate,Dumbbell,Moderate,Chest,Triceps,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Shoulders,Bench Pike Push-up,Intermediate,,Moderate,Upper Body,,8 minutes,2 minutes,Strength,80,Increase reps,Low
Chest,Pike Push-up,Intermediate,,Moderate,Upper Body,,8 minutes,2 minutes,Strength,80,Increase reps,Low
Shoulders,Pike Push-up,Intermediate,,Moderate,Upper Body,,8 minutes,2 minutes,Strength,80,Increase reps,Low
Full Body,Kettlebell Clean and Jerk,Advanced,Kettlebell,High,Cardio,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,Kettlebell Clean and Jerk,Advanced,Kettlebell,High,Cardio,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Kettlebell Clean and Jerk,Advanced,Kettlebell,High,Cardio,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Kettlebell Clean and Jerk,Advanced,Kettlebell,High,Cardio,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Kettlebell Goblet Squat,Intermediate,Kettlebell,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Hip,Kettlebell Deadlift,Intermediate,Kettlebell,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Leg,Kettlebell Deadlift,Intermediate,Kettlebell,Moderate,Lower Back,Glutes,12 minutes,3 minutes,Strength,100,Increase weight,Moderate
Full Body,Dumbbell Burpees,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Leg,Standing Toe Touches,Beginner,,Low,Lower Back,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Full Range Of Motion Lat Pulldown,Intermediate,Lat-Pulldown Machine,Moderate,Back,,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Hip,Dumbbell Split Jump,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Leg,Dumbbell Split Jump,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Leg,Banded Step-up,Intermediate,Resistance Band,Moderate,Hips,Glutes,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Full Body,Dumbbell Jump Squat,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Hip,Dumbbell Jump Squat,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Leg,Dumbbell Jump Squat,Intermediate,Dumbbell,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,100,,Moderate
Biceps,Chin-Up,Intermediate,,Moderate,Back,Biceps,10 minutes,2 minutes,Strength,110,Increase reps,Moderate
Cardio,Burpees,Beginner,,Low,Core,,8 minutes,1 minute,Strength,70,Increase duration,Low
Full Body,Burpees,Beginner,,Low,Core,,8 minutes,1 minute,Strength,70,Increase duration,Low
Hip,Burpees,Beginner,,Low,Core,,8 minutes,1 minute,Strength,70,Increase duration,Low
Leg,Burpees,Beginner,,Low,Core,,8 minutes,1 minute,Strength,70,Increase duration,Low
Trapezius,Scapula Dips,Beginner,,Low,Shoulders,,8 minutes,1 minute,Strength,70,Increase reps,Low
Trapezius,Push-Up Plus,Beginner,,Low,Chest,Triceps,5 minutes,1 minute,Strength,50,Increase reps,Low
Erector Spinae,Seated Toe Touches,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Leg,Seated Toe Touches,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Calisthenic,L-Sit Pull-Up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Full Body,L-Sit Pull-Up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Calisthenic,Back Lever,Advanced,,High,Back,,10 minutes,3 minutes,Strength,120,Increase duration,High
Full Body,Back Lever,Advanced,,High,Back,,10 minutes,3 minutes,Strength,120,Increase duration,High
Shoulders,Back Lever,Advanced,,High,Back,,10 minutes,3 minutes,Strength,120,Increase duration,High
Calisthenic,Swing 360,Advanced,,High,Back,,10 minutes,3 minutes,Strength,120,Increase duration,High
Calisthenic,Front Lever Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Full Body,Front Lever Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Leg,Reverse Hack Squat,Intermediate,Hack Squat Machine,Moderate,Hips,Quads,12 minutes,3 minutes,Strength,100,Increase resistance,Moderate
Leg,Duck Walk,Beginner,,Low,Hips,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Chest,Single-Arm Push-up,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Triceps,Single-Arm Push-up,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Leg,Zercher Squat,Advanced,Barbell,High,Hips,Quads,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,Ab Wheel Rollout,Intermediate,Ab Wheel,Moderate,Core,,8 minutes,2 minutes,Strength,80,Increase duration,Low
Shoulders,Wall-Supported Handstand Push-Ups,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Triceps,Wall-Supported Handstand Push-Ups,Advanced,,High,Upper Body,,10 minutes,3 minutes,Strength,120,Increase reps,High
Shoulders,Towel Shoulder Stretch,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Triceps,Towel Shoulder Stretch,Beginner,,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Hip,Standing Hamstring Stretch,Beginner,,Low,Calves,,5 minutes,1 minute,Stretch,10,,Low
Leg,Standing Hamstring Stretch,Beginner,,Low,Calves,,5 minutes,1 minute,Stretch,10,,Low
Leg,Kettlebell Thruster,Advanced,Kettlebell,High,Hips,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,Kettlebell Thruster,Advanced,Kettlebell,High,Hips,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,One Arm Dumbbell Snatch,Advanced,Dumbbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,One Arm Dumbbell Snatch,Advanced,Dumbbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Shoulders,One Arm Dumbbell Snatch,Advanced,Dumbbell,High,Full Body,Shoulders,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Landmine Lunge,Intermediate,Landmine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Smith Machine Lunge,Intermediate,Smith Machine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Towel Leg Curl,Beginner,Towel,Low,Hips,Hamstrings,8 minutes,1 minute,Strength,70,Increase duration,Low
Hip,Single Leg Hip Thrust Jump,Intermediate,,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,90,,Low
Trapezius,Seated Ballerina Exercise,Beginner,,Low,Shoulders,,5 minutes,1 minute,Stretch,10,,Low
Trapezius,Seated Scapular Retraction Exercise,Beginner,,Low,Shoulders,,5 minutes,1 minute,Stretch,10,,Low
Erector Spinae,Foam Roller Back Stretch,Beginner,Foam Roller,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Trapezius,Foam Roller Rhomboids,Beginner,Foam Roller,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Trapezius,Foam Roller Upper Back,Beginner,Foam Roller,Low,Back,,5 minutes,1 minute,Stretch,10,,Low
Leg,Foam Roller Inner Thigh Adductor Stretch,Beginner,Foam Roller,Low,Hips,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Foam Roller Front Shoulder and Chest,Beginner,Foam Roller,Low,Chest,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Assisted Reverse Stretch (Chest And Shoulder),Beginner,,Low,Chest,Shoulders,5 minutes,1 minute,Stretch,10,,Low
Back / Wing,Lying Upper Body Rotation,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Chest,Lying Upper Body Rotation,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Erector Spinae,Lying Upper Body Rotation,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Shoulders,Lying Upper Body Rotation,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Leg,90/90 Hip Stretch,Beginner,,Low,Hips,,5 minutes,1 minute,Stretch,10,,Low
Biceps,One Arm Chin-Up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,150,Increase reps,High
Trapezius,Scapula Pull-up,Intermediate,,Moderate,Back,,10 minutes,2 minutes,Strength,90,Increase reps,Low
Calisthenic,Archer Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Full Body,Archer Pull-up,Advanced,,High,Back,Biceps,10 minutes,3 minutes,Strength,120,Increase reps,High
Hip,Stiff Leg Deadlift,Intermediate,Barbell,Moderate,Lower Back,Hamstrings,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Leg,Stiff Leg Deadlift,Intermediate,Barbell,Moderate,Lower Back,Hamstrings,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Shoulders,Kneeling Back Rotation,Beginner,,Low,Lower Back,,5 minutes,1 minute,Stretch,10,,Low
Trapezius,Serratus Wall Slide With Foam Roller,Beginner,Foam Roller,Low,Shoulders,,5 minutes,1 minute,Stretch,10,,Low
Chest,Fish Pose,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Neck,Fish Pose,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Yoga,Fish Pose,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Full Body,Cross Body Push-up,Intermediate,,Moderate,Cardio,,10 minutes,2 minutes,Aerobic,90,,Low
Forearm,Dumbbell Preacher Hammer (Scott) Curl,Intermediate,Dumbbell,Moderate,Biceps,,10 minutes,2 minutes,Strength,90,Increase weight,Low
Leg,Cable Forward Lunge,Intermediate,Cable Machine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Cable Front Squat,Intermediate,Cable Machine,Moderate,Hips,Quads,10 minutes,2 minutes,Strength,90,Increase resistance,Low
Leg,Bodyweight Kneeling Sissy Squat,Beginner,,Low,Core,Quads,8 minutes,1 minute,Strength,70,Increase duration,Low
Trapezius,Wide Grip Barbell Bent Over Row Plus,Intermediate,Barbell,Moderate,Back,,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Trapezius,Wide Grip Alternate Barbell Bent Over Row Plus,Intermediate,Barbell,Moderate,Back,,12 minutes,3 minutes,Strength,110,Increase weight,Moderate
Hip,Trap Bar Jump Squat,Advanced,Trap Bar,High,Full Body,,15 minutes,3 minutes,Strength,200,Increase weight,High
Leg,Trap Bar Jump Squat,Advanced,Trap Bar,High,Full Body,,15 minutes,3 minutes,Strength,200,Increase weight,High
Hip,Box Jump to Pistol Squat,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Leg,Box Jump to Pistol Squat,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Hip,Box Jump 2 to 1,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Leg,Box Jump 2 to 1,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Hip,Box Jump 1 to 2,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Leg,Box Jump 1 to 2,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Hip,Single Leg Box Jump,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Leg,Single Leg Box Jump,Advanced,,High,Cardio,Legs,15 minutes,3 minutes,Strength,200,Increase reps,High
Erector Spinae,Bow Pose,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
Leg,Bow Pose,Beginner,,Low,Core,,5 minutes,1 minute,Stretch,10,,Low
